title,choices,answer
以下哪个问题反映的不是职业价值观? ,"['A. 你觉得什么样的职业是有意义的?', 'B. 你希望通过职业实现什么目标?', 'C. 你觉得什么职业最能发挥你的潜能?', 'D. 你最希望职业能给你什么回报?']",正确答案：C
"无须担心失业以及收入,不会轻易被解雇,就业率没有季节性的高低起伏,收入总体来说稳定可预知,不会因技术革命而淘汰。这是哪一种职业价值观?","['A. 多样性', 'B. 稳定性', 'C. 声望地位', 'D. 高收入']",正确答案：B
"给予你较多自由来自己做出决策,无须在他人的监督或指导下工作。这是哪一种职业价值观?","['A. 管理权力', 'B. 多样性', 'C. 独立自主', 'D. 社会声望']",正确答案：C
兴趣与能力有密切的关系，兴趣等同于能力。,"['A. 对', 'B. 错']",正确答案：B
个人兴趣类型与职业环境之间的适配将增加个人的工作满意度、职业稳定性和职业成就感。,"['A. 对', 'B. 错']",正确答案：A
社会型特质的人喜欢的活动是喜欢与人合作，热情关心他人的幸福，愿意帮助别人成长或解决困难、为他人提供服务。,"['A. 对', 'B. 错']",正确答案：A
大学生要严格按照职业兴趣测评的结果进行决策。,"['A. 对', 'B. 错']",正确答案：B
"每个人的职业价值观都是固定的,是本性使然,不会随着时间、经历的改变而改变。","['A. 对', 'B. 错']",正确答案：B
学生对退学处理有异议的，可以在接到学校退学决定之日起（   ）个工作日内，向学校学生申诉处理委员会提出书面申诉。,"['A. 3', 'B. 5', 'C. 10', 'D. 15']",正确答案：B
本科学制由国家统一规定，一般为（   ）年。,"['A. 一', 'B. 二', 'C. 三', 'D. 四']",正确答案：D
退学决定自（   ）起生效。,"['A. 送达之日', 'B. 送达后一日', 'C. 送达后一周', 'D. 学生本人签收后一日']",正确答案：A
退学决议书无法送达的，在学校公告栏公布退学决定。自公布之日起经过（ ）日，即视为送达。,"['A. 7', 'B. 14', 'C. 15', 'D. 30']",正确答案：C
新生入学后，学校在（   ）个月内按照国家招生规定对其进行复查。,"['A. 一', 'B. 二', 'C. 三', 'D. 四']",正确答案：C
学生对学校的处分决定有异议的，在学校处分决定书送达之日起（   ）个工作日内，可以向学校学生申诉处理委员会提出书面申诉。,"['A. 5', 'B. 7', 'C. 10', 'D. 15']",正确答案：A
对学生的退学处理，由（   ）研究决定。,"['A. 教务处', 'B. 所在院系', 'C. 校长办公会议', 'D. 省级教育行政部门']",正确答案：C
退学的学生，应在（   ）内办理退学手续离校。,"['A. 一周', 'B. 两周', 'C. 一个月', 'D. 本学期']",正确答案：B
在一学期内请假、缺课时间达到该学期总学时（   ）的学生（获准部分免听者除外），应予休学。,"['A. 1/2', 'B. 1/3', 'C. 1/4', 'D. 1/5']",正确答案：B
一门课程缺课的学时累计达到该门课程总学时数的（   ）者（获准部分免听者除外），该门课程必须重修。,"['A. 1/2', 'B. 1/3', 'C. 1/4', 'D. 1/5']",正确答案：B
学业成绩未达到学校要求，相连两个学期未能获得该专业教学计划（   ）学分者，应当退学。,"['A. 14', 'B. 16', 'C. 18', 'D. 20']",正确答案：D
同一门课程重修不得超过（   ）次。,"['A. 一', 'B. 二', 'C. 三', 'D. 四']",正确答案：B
被学校开除学籍的学生，学校发给（   ）。,"['A. 毕业证', 'B. 结业证', 'C. 肄业证', 'D. 学习证明']",正确答案：D
学生在规定最长在校年限之内，所获学分达到教学计划总学分数（   ）者准予结业。,"['A. 60%', 'B. 70%', 'C. 80%', 'D. 90%']",正确答案：D
